label,distractor1,distractor2,distractor3,difficulty
ant,muffin,raspberry,mint,0
ball,pen,peach,snack,0
duck,tongue,ladder,snake,0
wheel,fish,bowl,meat,0
carrot,vegetable,phone,bathtub,1
cake,dessert,refrigerator,battery,1
pajamas,pants,cage,groundhog,1
pie,pizza,flashlight,sweater,1
rice,dice,box,bedpost,1
marshmallow,snowball,dryer,rooster,1
lollipop,candy,doorbell,crumb,1
turkey,goat,swan,pencil,1
turtle,frog,horse,railing,1
watermelon,strawberry,screwdriver,crane,1
cheese,butter,mud,hippopotamus,1
hamster,rabbit,tadpole,skirt,1
squirrel,monkey,eagle,shorts,1
sink,toilet,stair,knitting,1
oatmeal,cereal,collar,aquarium,1
freezer,cooler,nest,binoculars,1
shower,soap,toe,cantaloupe,1
elbow,arm,bed,gorilla,1
horn,bone,chin,ladybug,1
potato,pot,glasses,dragonfly,1
fox,wolf,reindeer,harmonica,1
scoop,sauce,statue,cauliflower,1
ship,boat,nose,zucchini,1
puddle,bubble,baseball,salami,1
seagull,pigeon,lobster,perfume,1
otter,beaver,goose,tablecloth,1
sprinkler,sparkler,flower,charcoal,1
map,marker,ruby,dishwasher,2
bulldozer,tractor,orange,eggplant,2
candlestick,candle,egg,orangutan,2
fan,album,boulder,chipmunk,2
snail,worm,cow,visor,2
hopscotch,chalk,funnel,jug,2
silverware,trophy,garlic,eggnog,2
acorn,coconut,key,clothesline,2
koala,panda,bee,backscratcher,2
sunflower,pineapple,rim,pinball,2
pump,plug,coat,scarf,2
treasure,gift,rope,lamp,2
foam,float,quilt,asparagus,2
teapot,teacup,brake,bookmark,2
trumpet,flute,violin,coleslaw,2
cassette,tape,book,hammock,2
cornbread,corn,wreath,organ,2
pitcher,batter,tumbleweed,medal,2
saddle,handle,figurine,broccoli,2
omelet,pancake,clay,trunk,2
caramel,amber,olive,warthog,2
teabag,tea,fingerprint,braid,2
carousel,carriage,dish,melon,2
ski,ice,suitcase,pincushion,2
typewriter,printer,sunglasses,drumstick,2
blender,blind,mailbox,trampoline,2
squash,pumpkin,branch,gazelle,2
cloak,hood,cinnamon,jellyfish,3
stew,soup,mixer,orchid,3
telescope,tripod,windshield,anklet,3
net,tee,domino,hydrant,3
antenna,stem,pinecone,backgammon,3
tulip,rose,glove,hubcap,3
spatula,paddle,lava,pheasant,3
oil,gel,grain,bassinet,3
buffet,counter,crib,rhubarb,3
stump,log,bookshelf,showerhead,3
barrel,bucket,shelf,anteater,3
gutter,filter,almond,porthole,3
clothespin,toothpick,volleyball,fondue,3
sandbag,sandpaper,valve,octopus,3
prune,raisin,headrest,jukebox,3
coaster,card,painting,hummingbird,3
latch,lock,microwave,umbrella,3
locker,cabinet,basket,gargoyle,3
tuxedo,suit,stroller,moccasin,3
fruitcake,fudge,dough,anvil,3
thermos,oilcan,firewood,coral,3
blower,burner,buggy,papaya,3
sloth,donkey,clam,incense,3
dumpling,meatball,rocket,coyote,3
footbath,trough,vest,rhinoceros,3
hedgehog,owl,iguana,dumbwaiter,3
bouquet,centerpiece,bandanna,submarine,3
hoe,peg,dustpan,beaker,4
pistachio,avocado,taco,bagpipe,4
grate,crate,reel,tuba,4
aloe,cactus,bracket,banner,4
parsley,basil,tiara,kayak,4
cork,jersey,skateboard,mascara,4
headdress,crown,poster,mango,4
mulch,compost,clarinet,lantern,4
sauerkraut,potpourri,dashboard,clove,4
bamboo,lumber,yacht,apron,4
swordfish,catfish,leopard,graffiti,4
taillight,bumper,luggage,sushi,4
bobsled,sidecar,dip,cilantro,4
stretcher,drill,thermostat,vase,4
prism,radar,subway,chinchilla,4
waterwheel,pinwheel,target,boa,4
cymbal,mallet,kaleidoscope,ferry,4
artichoke,leek,sunroof,cello,4
gondola,trolley,clipboard,charger,4
corset,harness,mantle,bonsai,4
tapestry,backdrop,leggings,forklift,4
turbine,generator,tab,pesto,4
scaffolding,satellite,veil,antelope,4
kimono,cardigan,turntable,cable,4
sorbet,palette,tamale,chive,4
mandolin,gourd,mast,seismograph,4
flan,fuse,amplifier,turnstile,4